candidate,theta,rank,lambda_real,lambda_imag,abs_lambda
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,1,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,2,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,3,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,4,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,5,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,6,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,7,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,8,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,9,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,13,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,14,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_a (proj on first 9 residues by COPRIME index),1.0000000000e+00,18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,1,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,2,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,3,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,4,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,5,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,6,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,7,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,8,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,9,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,13,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,14,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
T_c (proj on r < 14: |A|=9),1.0000000000e+00,18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
