y_idx,y,n_preimage_strict,n_preimage_eff,max_K,entropy,total_mass,entropy_over_log_npre
0,1,23,23,1.250000e-01,1.680850,4.761934e-01,0.536072
1,2,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
2,4,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
3,5,21,21,6.250000e-02,1.680867,2.380972e-01,0.552095
4,7,24,24,5.000000e-01,1.404113,1.619050e+00,0.441815
5,8,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
6,10,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
7,11,24,24,2.500000e-01,1.680805,9.523830e-01,0.528879
8,13,25,25,5.000000e-01,1.680793,1.904764e+00,0.522168
9,14,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
10,16,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
11,17,23,23,2.500000e-01,1.404119,8.095255e-01,0.447814
12,19,22,22,1.250000e-01,1.680825,4.761925e-01,0.543773
13,20,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
14,22,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
15,23,20,20,6.250000e-02,1.680820,2.380962e-01,0.561071
16,25,23,23,5.000000e-01,1.404105,1.619049e+00,0.447810
17,26,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
18,28,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
19,29,23,23,2.500000e-01,1.680791,9.523821e-01,0.536053
20,31,25,25,5.000000e-01,1.680793,1.904764e+00,0.522168
21,32,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
22,34,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
23,35,23,23,2.500000e-01,1.404119,8.095255e-01,0.447814
24,37,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
25,38,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
26,40,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
27,41,20,20,6.250000e-02,1.680820,2.380962e-01,0.561071
28,43,23,23,5.000000e-01,1.404105,1.619049e+00,0.447810
29,44,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
30,46,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
31,47,23,23,2.500000e-01,1.680791,9.523821e-01,0.536053
32,49,24,24,5.000000e-01,1.680786,1.904763e+00,0.528873
33,50,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
34,52,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
35,53,23,23,2.500000e-01,1.404119,8.095255e-01,0.447814
36,55,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
37,56,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
38,58,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
39,59,20,20,6.250000e-02,1.680820,2.380962e-01,0.561071
40,61,23,23,5.000000e-01,1.404105,1.619049e+00,0.447810
41,62,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
42,64,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
43,65,23,23,2.500000e-01,1.680791,9.523821e-01,0.536053
44,67,24,24,5.000000e-01,1.680786,1.904763e+00,0.528873
45,68,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
46,70,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
47,71,22,22,2.500000e-01,1.404104,8.095245e-01,0.454249
48,73,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
49,74,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
50,76,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
51,77,20,20,6.250000e-02,1.680820,2.380962e-01,0.561071
52,79,23,23,5.000000e-01,1.404105,1.619049e+00,0.447810
53,80,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
54,82,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
55,83,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
56,85,24,24,5.000000e-01,1.680786,1.904763e+00,0.528873
57,86,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
58,88,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
59,89,22,22,2.500000e-01,1.404104,8.095245e-01,0.454249
60,91,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
61,92,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
62,94,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
63,95,20,20,6.250000e-02,1.680820,2.380962e-01,0.561071
